symbol,sector,industry
RELIANCE.NS,Energy,Oil & Gas
TCS.NS,Information Technology,IT Services
HDFCBANK.NS,Financials,Banking
ICICIBANK.NS,Financials,Banking
INFY.NS,Information Technology,IT Services
ITC.NS,Consumer Staples,Tobacco
SBIN.NS,Financials,Banking
BHARTIARTL.NS,Communication Services,Telecom
HINDUNILVR.NS,Consumer Staples,Household Products
LARSEN.NS,Industrials,Construction
BAJFINANCE.NS,Financials,Consumer Finance
HCLTECH.NS,Information Technology,IT Services
MARUTI.NS,Consumer Discretionary,Automobiles
SUNPHARMA.NS,Health Care,Pharmaceuticals
TATAMOTORS.NS,Consumer Discretionary,Automobiles
M&M.NS,Consumer Discretionary,Automobiles
ASIANPAINT.NS,Materials,Chemicals
NTPC.NS,Utilities,Power
TITAN.NS,Consumer Discretionary,Luxury Goods
ULTRACEMCO.NS,Materials,Construction Materials
AXISBANK.NS,Financials,Banking
BAJAJFINSV.NS,Financials,Insurance
WIPRO.NS,Information Technology,IT Services
NESTLEIND.NS,Consumer Staples,Food
JSWSTEEL.NS,Materials,Steel
POWERGRID.NS,Utilities,Power
TATASTEEL.NS,Materials,Steel
ADANIPORTS.NS,Industrials,Transportation
HDFCLIFE.NS,Financials,Insurance
GRASIM.NS,Materials,Conglomerate
TECHM.NS,Information Technology,IT Services
INDUSINDBK.NS,Financials,Banking
HINDALCO.NS,Materials,Aluminum
DRREDDY.NS,Health Care,Pharmaceuticals
ONGC.NS,Energy,Oil & Gas
CIPLA.NS,Health Care,Pharmaceuticals
EICHERMOT.NS,Consumer Discretionary,Automobiles
BRITANNIA.NS,Consumer Staples,Food
COALINDIA.NS,Energy,Coal
DIVISLAB.NS,Health Care,Pharmaceuticals
APOLLOHOSP.NS,Health Care,Hospitals
BAJAJ-AUTO.NS,Consumer Discretionary,Automobiles
HEROMOTOCO.NS,Consumer Discretionary,Automobiles
SBILIFE.NS,Financials,Insurance
KOTAKBANK.NS,Financials,Banking
BPCL.NS,Energy,Oil & Gas
UPL.NS,Materials,Agrochemicals
LTIM.NS,Information Technology,IT Services
TATACONSUM.NS,Consumer Staples,Food
ADANIENT.NS,Industrials,Conglomerate
